sheet,indicator_code,indicator_title,geo_name,geo_code,geo_parent,section,metric,year,value,geo_version
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2006,15.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2008,13.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2010,14.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2012,11.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2013,9.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2014,8.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2015,7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2016,5.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2020,4.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2021,4.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2022,4.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2023,3.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",CẢ NƯỚC,,,,rate_percent,2024,2.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2006,7.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2008,6.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2010,6.9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2012,4.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2013,3.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2014,3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2015,2.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2016,2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2020,1.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2021,1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2022,1.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2023,1.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Thành thị,,,Khu vực,rate_percent,2024,0.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2006,18,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2008,16.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2010,17.4,old_63
